,,Overall NHL Stats,,,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,
Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
180,Evgeni Malkin,PIT,35,F,41,20,22,42,24,-10,18:19,14:33,3:45,0:00,11,9,0,5,1,11,11,0,1,0,22,20,0,6,1,47.6%,1.597,1.756,3.353,1.106,1.106,2.211,3.5,4.278,7.779,0.488,0.537,1.024,129,15.5%,21,18,164,212,43.62%
181,Adam Henrique,ANA,31,F,58,19,23,42,14,-2,17:25,15:09,2:08,0:07,13,6,0,0,0,18,5,0,3,1,31,11,0,3,1,26.2%,1.128,1.366,2.494,0.888,1.229,2.116,2.89,2.409,5.299,0.328,0.397,0.724,141,13.5%,22,47,276,221,55.53%
182,Dawson Mercer,NJD,20,F,82,17,25,42,28,-25,16:32,14:21,1:53,0:18,14,2,1,2,0,21,3,1,1,0,35,5,2,3,0,11.9%,0.752,1.106,1.858,0.714,1.07,1.784,0.777,1.165,1.941,0.207,0.305,0.512,154,11.0%,26,35,209,381,35.42%
183,Cam Fowler,ANA,30,D,76,9,33,42,14,-9,24:24,19:25,2:08,2:51,3,6,0,1,0,21,12,0,5,1,24,18,0,6,1,42.9%,0.291,1.067,1.358,0.122,0.854,0.976,2.209,4.418,6.626,0.118,0.434,0.553,124,7.3%,37,116,0,0,0.00%
184,Jaccob Slavin,CAR,27,D,79,4,38,42,10,35,23:31,18:56,1:21,3:13,3,1,0,0,0,30,6,2,4,0,33,7,2,4,0,16.7%,0.129,1.227,1.356,0.12,1.203,1.324,0.556,3.336,3.892,0.051,0.481,0.532,165,2.4%,50,121,0,0,0.00%
185,Tanner Jeannot,NSH,24,F,81,24,17,41,130,2,15:59,12:56,0:29,2:32,21,2,1,5,1,16,1,0,3,1,37,3,1,8,2,7.3%,1.112,0.788,1.9,1.202,0.916,2.117,2.978,1.489,4.467,0.296,0.21,0.506,124,19.4%,318,64,10,14,41.67%
186,Rickard Rakell,PIT,28,F,70,20,21,41,12,0,17:59,15:40,2:17,0:01,15,5,0,2,1,16,5,0,4,1,31,10,0,6,2,24.4%,0.953,1.001,1.954,0.82,0.874,1.694,1.877,1.877,3.754,0.286,0.3,0.586,184,10.9%,99,44,36,43,45.57%
187,Kailer Yamamoto,EDM,23,F,81,20,21,41,40,-1,16:52,14:53,0:49,1:09,16,3,1,4,0,17,3,1,2,0,33,6,2,6,0,14.6%,0.878,0.922,1.8,0.796,0.845,1.641,2.703,2.703,5.405,0.247,0.259,0.506,114,17.5%,114,36,2,4,33.33%
188,Tyson Barrie,EDM,30,D,73,7,34,41,18,3,18:57,15:42,2:51,0:23,4,3,0,0,0,15,18,1,6,0,19,21,1,6,0,51.2%,0.303,1.474,1.777,0.209,0.785,0.994,0.863,5.18,6.043,0.096,0.466,0.562,149,4.7%,27,73,0,0,0.00%
189,Corey Perry,TBL,36,F,82,19,21,40,66,9,13:31,11:47,1:43,0:00,13,6,0,4,0,19,2,0,4,0,32,8,0,8,0,20.0%,1.028,1.137,2.165,0.807,1.18,1.987,2.553,0.851,3.404,0.232,0.256,0.488,153,12.4%,73,28,2,2,50.00%
190,Seth Jarvis,CAR,19,F,68,17,23,40,18,11,13:52,12:30,1:21,0:00,15,2,0,4,1,19,4,0,6,0,34,6,0,10,1,15.0%,1.081,1.463,2.544,1.058,1.34,2.398,1.302,2.604,3.907,0.25,0.338,0.588,110,15.5%,69,21,11,14,44.00%
191,Martin Necas,CAR,22,F,78,14,26,40,32,5,16:11,13:14,1:38,1:17,11,2,1,6,1,24,2,0,5,0,35,4,1,11,1,10.0%,0.665,1.235,1.901,0.639,1.393,2.032,0.936,0.936,1.871,0.179,0.333,0.513,159,8.8%,55,19,38,47,44.71%
192,Jared Spurgeon,MIN,32,D,65,10,30,40,10,32,21:09,16:07,3:01,2:00,10,0,0,2,2,16,14,0,3,0,26,14,0,5,2,35.0%,0.436,1.309,1.745,0.572,0.916,1.488,0,4.266,4.266,0.154,0.462,0.615,116,8.6%,44,83,0,0,0.00%
193,Evander Kane,EDM,30,F,43,22,17,39,60,25,19:27,16:39,2:26,0:21,17,3,2,3,0,15,1,1,5,0,32,4,3,8,0,10.3%,1.578,1.22,2.798,1.424,1.257,2.681,1.712,0.571,2.283,0.512,0.395,0.907,152,14.5%,135,11,9,11,45.00%
194,Ross Colton,TBL,25,F,79,22,17,39,24,4,12:47,11:22,1:23,0:01,21,1,0,4,0,13,4,0,3,1,34,5,0,7,1,12.8%,1.306,1.009,2.314,1.401,0.868,2.269,0.545,2.18,2.725,0.278,0.215,0.494,159,13.8%,153,36,303,278,52.15%
195,Jean-Gabriel Pageau,NYI,29,F,77,18,21,39,30,0,17:40,13:41,2:04,1:55,13,4,1,0,0,15,3,3,4,0,28,7,4,4,0,17.9%,0.794,0.926,1.719,0.74,0.854,1.594,1.507,1.13,2.637,0.234,0.273,0.506,126,14.3%,171,53,748,604,55.33%
196,Matthew Boldy,MIN,20,F,47,15,24,39,10,17,15:22,13:01,2:20,0:00,12,3,0,2,0,17,7,0,4,0,29,10,0,6,0,25.6%,1.246,1.993,3.238,1.177,1.667,2.844,1.632,3.808,5.441,0.319,0.511,0.83,113,13.3%,23,24,9,15,37.50%
197,Nicolas Roy,VGK,24,F,78,15,24,39,51,12,16:15,13:10,1:44,1:20,13,2,0,3,0,20,3,1,8,3,33,5,1,11,3,12.8%,0.71,1.135,1.845,0.759,1.167,1.926,0.883,1.324,2.207,0.192,0.308,0.5,145,10.3%,85,34,454,477,48.76%
198,Mikael Backlund,CGY,32,F,82,12,27,39,30,16,17:07,13:38,1:26,2:01,12,0,0,1,0,20,7,0,5,0,32,7,0,6,0,17.9%,0.513,1.154,1.667,0.643,1.072,1.716,0,3.551,3.551,0.146,0.329,0.476,214,5.6%,62,27,620,609,50.45%
199,Max Domi,CAR,26,F,72,11,28,39,55,10,13:02,11:48,1:13,0:00,11,0,0,1,0,24,4,0,7,1,35,4,0,8,1,10.3%,0.703,1.79,2.493,0.776,1.693,2.469,0,2.737,2.737,0.153,0.389,0.542,104,10.6%,24,9,39,47,45.35%
200,Jacob Trouba,NYR,27,D,81,11,28,39,88,25,22:25,19:08,1:11,2:04,10,1,0,1,0,23,3,2,4,0,33,4,2,5,0,10.3%,0.363,0.925,1.288,0.387,0.89,1.277,0.617,1.852,2.47,0.136,0.346,0.481,204,5.4%,207,177,0,0,0.00%
201,Connor Brown,OTT,27,F,64,10,29,39,10,-15,20:03,15:21,2:04,2:38,9,0,1,0,0,17,9,3,4,1,26,9,4,4,1,23.1%,0.467,1.356,1.823,0.549,1.038,1.587,0,4.073,4.073,0.156,0.453,0.609,121,8.3%,14,37,48,85,36.09%
202,Alexander Barabanov,SJS,27,F,70,10,29,39,14,-5,17:10,15:19,1:51,0:00,8,2,0,1,1,23,6,0,5,1,31,8,0,6,2,20.5%,0.499,1.447,1.946,0.447,1.286,1.734,0.925,2.775,3.699,0.143,0.414,0.557,103,9.7%,53,39,0,1,0.00%
203,Brady Skjei,CAR,27,D,82,9,30,39,48,22,21:08,18:32,0:07,2:28,9,0,0,0,0,30,0,0,3,0,39,0,0,3,0,0.0%,0.311,1.038,1.35,0.355,1.184,1.54,0,0,0,0.11,0.366,0.476,184,4.9%,95,73,0,0,0.00%
204,James van Riemsdyk,PHI,32,F,82,24,14,38,25,-33,16:06,13:29,2:36,0:00,15,9,0,4,0,14,0,0,0,0,29,9,0,4,0,23.7%,1.09,0.636,1.726,0.813,0.759,1.572,2.525,0,2.525,0.293,0.171,0.463,186,12.9%,34,25,10,14,41.67%
205,Artturi Lehkonen,COL,26,F,74,19,19,38,22,1,15:05,12:11,1:01,1:53,15,2,2,2,0,18,1,0,2,0,33,3,2,4,0,7.9%,1.021,1.021,2.041,0.998,1.197,2.195,1.589,0.794,2.383,0.257,0.257,0.514,155,12.3%,82,39,8,21,27.59%
206,Reilly Smith,VGK,30,F,56,16,22,38,8,4,17:47,14:12,1:48,1:46,11,3,2,3,0,16,4,2,2,0,27,7,4,5,0,18.4%,0.964,1.325,2.289,0.829,1.206,2.035,1.783,2.377,4.16,0.286,0.393,0.679,150,10.7%,55,23,4,4,50.00%
207,Dylan Cozens,BUF,20,F,79,13,25,38,55,-19,15:54,13:28,1:55,0:29,11,2,0,1,0,17,7,1,5,1,28,9,1,6,1,23.7%,0.621,1.194,1.815,0.62,0.958,1.578,0.789,2.762,3.551,0.165,0.316,0.481,160,8.1%,35,22,383,457,45.60%
208,Alex Tuch,BUF,25,F,50,12,26,38,14,-3,18:23,14:01,2:52,1:26,9,2,1,0,0,20,6,0,5,1,29,8,1,5,1,21.1%,0.783,1.697,2.48,0.77,1.711,2.481,0.835,2.506,3.341,0.24,0.52,0.76,139,8.6%,32,49,9,14,39.13%
209,Thomas Chabot,OTT,24,D,59,7,31,38,26,-3,26:11,22:32,3:28,0:10,6,1,0,1,0,19,12,0,6,2,25,13,0,7,2,34.2%,0.272,1.204,1.475,0.271,0.857,1.128,0.292,3.509,3.801,0.119,0.525,0.644,173,4.1%,73,93,0,0,0.00%
210,Mikhail Sergachyov,TBL,23,D,78,7,31,38,59,6,22:28,18:51,1:31,2:05,6,1,0,1,0,24,6,1,8,2,30,7,1,9,2,18.4%,0.24,1.061,1.301,0.245,0.979,1.224,0.506,3.033,3.539,0.09,0.397,0.487,149,4.7%,139,123,0,0,0.00%
211,Filip Hronek,DET,24,D,78,5,33,38,36,-29,22:01,18:34,1:52,1:34,3,2,0,0,0,28,5,0,5,1,31,7,0,5,1,18.4%,0.175,1.152,1.327,0.124,1.16,1.284,0.817,2.043,2.86,0.064,0.423,0.487,133,3.8%,70,81,0,0,0.00%
212,Max Pacioretty,VGK,33,F,39,19,18,37,33,8,17:22,14:40,2:41,0:00,15,4,0,4,0,10,8,0,3,0,25,12,0,7,0,32.4%,1.682,1.593,3.275,1.572,1.048,2.621,2.285,4.57,6.855,0.487,0.462,0.949,148,12.8%,30,21,2,7,22.22%
213,Alex Iafallo,LAK,28,F,79,17,20,37,8,4,18:30,14:06,2:45,1:38,13,3,1,2,1,16,3,1,5,0,29,6,2,7,1,16.2%,0.698,0.821,1.519,0.7,0.861,1.561,0.827,0.827,1.654,0.215,0.253,0.468,215,7.9%,48,53,15,17,46.88%
214,Rem Pitlick,MTL,24,F,66,15,22,37,24,-8,14:59,12:50,1:25,0:43,14,0,1,1,0,21,1,0,4,2,35,1,1,5,2,2.7%,0.91,1.334,2.244,0.991,1.486,2.477,0,0.64,0.64,0.227,0.333,0.561,65,23.1%,25,28,53,65,44.92%
215,Jonathan Toews,CHI,33,F,71,12,25,37,39,-14,17:28,13:23,2:42,1:22,7,4,1,2,0,22,3,0,3,0,29,7,1,5,0,18.9%,0.58,1.209,1.789,0.442,1.388,1.83,1.248,0.936,2.184,0.169,0.352,0.521,125,9.6%,25,22,788,548,58.98%
216,Josh Morrissey,WPG,26,D,79,12,25,37,66,-3,23:39,20:10,2:32,0:56,6,6,0,3,0,16,9,0,7,2,22,15,0,10,2,40.5%,0.385,0.803,1.188,0.226,0.602,0.828,1.793,2.689,4.482,0.152,0.316,0.468,173,6.9%,150,104,0,0,0.00%
217,Alexander Wennberg,SEA,27,F,80,11,26,37,28,-26,17:50,14:59,2:04,0:46,9,2,0,2,0,21,4,1,6,1,30,6,1,8,1,16.2%,0.462,1.093,1.555,0.45,1.051,1.502,0.724,1.447,2.171,0.138,0.325,0.463,95,11.6%,47,44,555,635,46.64%
218,Brandon Montour,FLA,27,D,81,11,26,37,48,15,17:53,15:54,1:22,0:37,10,1,0,1,1,19,7,0,5,0,29,8,0,6,1,21.6%,0.455,1.076,1.531,0.465,0.884,1.35,0.54,3.779,4.319,0.136,0.321,0.457,153,7.2%,64,65,0,0,0.00%
219,Gustav Forsling,FLA,25,D,71,10,27,37,18,41,21:13,18:33,0:10,2:28,10,0,0,1,1,27,0,0,6,4,37,0,0,7,5,0.0%,0.398,1.075,1.474,0.455,1.229,1.684,0,0,0,0.141,0.38,0.521,145,6.9%,45,86,0,0,0.00%
220,Ryan Getzlaf,ANA,36,F,56,3,34,37,29,-14,18:57,15:40,2:37,0:39,1,2,0,1,0,25,9,0,6,1,26,11,0,7,1,29.7%,0.17,1.922,2.091,0.068,1.709,1.778,0.817,3.678,4.496,0.054,0.607,0.661,104,2.9%,89,56,546,479,53.27%
221,Jordan Staal,CAR,33,F,78,17,19,36,18,11,16:37,13:42,0:42,2:12,16,1,0,2,0,18,1,0,2,1,34,2,0,4,1,5.6%,0.786,0.879,1.665,0.898,1.01,1.907,1.09,1.09,2.18,0.218,0.244,0.462,146,11.6%,212,29,736,549,57.28%
222,Craig Smith,BOS,32,F,74,16,20,36,28,2,14:25,12:50,1:33,0:01,16,0,0,1,0,16,4,0,5,0,32,4,0,6,0,11.1%,0.9,1.124,2.024,1.01,1.01,2.02,0,2.082,2.082,0.216,0.27,0.486,187,8.6%,95,28,4,8,33.33%
223,Pavel Zacha,NJD,24,F,70,15,21,36,22,-21,16:50,14:16,2:11,0:22,11,4,0,1,1,17,4,0,2,1,28,8,0,3,2,22.2%,0.763,1.069,1.832,0.661,1.021,1.681,1.565,1.565,3.129,0.214,0.3,0.514,148,10.1%,80,18,189,188,50.13%
224,Pius Suter,DET,25,F,82,15,21,36,22,-11,16:55,13:53,1:20,1:42,14,0,1,3,0,18,3,0,3,1,32,3,1,6,1,8.3%,0.649,0.908,1.557,0.738,0.949,1.686,0,1.641,1.641,0.183,0.256,0.439,166,9.0%,24,37,495,509,49.30%
225,Jesse Puljujärvi,EDM,23,F,65,14,22,36,20,22,16:13,14:45,1:28,0:00,10,4,0,1,0,19,3,0,1,0,29,7,0,2,0,19.4%,0.796,1.251,2.048,0.626,1.189,1.814,2.515,1.886,4.401,0.215,0.338,0.554,160,8.8%,81,15,0,0,0.00%
226,Miro Heiskanen,DAL,22,D,70,5,31,36,24,3,24:53,20:57,2:18,1:38,2,3,0,1,1,23,8,0,4,2,25,11,0,5,3,30.6%,0.172,1.068,1.24,0.082,0.941,1.023,1.118,2.98,4.098,0.071,0.443,0.514,156,3.2%,52,92,0,0,0.00%
227,Travis Boyd,ARI,28,F,74,17,18,35,34,-10,16:30,14:13,1:39,0:37,15,2,0,2,1,16,2,0,3,1,31,4,0,5,2,11.4%,0.835,0.884,1.719,0.855,0.912,1.767,0.979,0.979,1.957,0.23,0.243,0.473,88,19.3%,71,55,420,507,45.31%
228,Mike Hoffman,MTL,32,F,67,15,20,35,32,-24,17:02,14:19,2:41,0:01,11,4,0,3,0,11,9,0,2,1,22,13,0,5,1,37.1%,0.788,1.051,1.839,0.688,0.688,1.375,1.327,2.987,4.314,0.224,0.299,0.522,154,9.7%,27,29,12,8,60.00%
229,Pierre Engvall,TOR,25,F,78,15,20,35,30,13,13:16,11:45,0:34,0:57,12,1,2,3,0,17,2,1,1,0,29,3,3,4,0,8.6%,0.869,1.158,2.027,0.785,1.113,1.898,1.344,2.688,4.031,0.192,0.256,0.449,154,9.7%,66,12,29,40,42.03%
230,Zach Parise,NYI,37,F,82,15,20,35,28,-2,15:16,12:11,1:35,1:30,11,2,2,4,0,15,5,0,2,0,26,7,2,6,0,20.0%,0.718,0.958,1.676,0.661,0.901,1.561,0.924,2.31,3.234,0.183,0.244,0.427,138,10.9%,60,57,28,47,37.33%
231,Andreas Johnson,NJD,27,F,71,13,22,35,30,4,14:21,13:12,1:04,0:04,12,1,0,0,0,22,0,0,2,0,34,1,0,2,0,2.9%,0.765,1.294,2.059,0.768,1.407,2.175,0.79,0,0.79,0.183,0.31,0.493,114,11.4%,64,22,4,10,28.57%
232,William Karlsson,VGK,28,F,67,12,23,35,10,3,18:16,14:43,2:01,1:31,9,1,2,0,0,21,2,0,6,2,30,3,2,6,2,8.6%,0.588,1.127,1.714,0.548,1.278,1.825,0.441,0.882,1.323,0.179,0.343,0.522,135,8.9%,42,42,508,475,51.68%
233,Dmitry Orlov,WSH,30,D,76,12,23,35,44,25,20:57,19:14,0:58,0:44,10,2,0,4,1,21,2,0,3,1,31,4,0,7,2,11.4%,0.452,0.866,1.318,0.41,0.862,1.272,1.619,1.619,3.239,0.158,0.303,0.461,127,9.5%,124,94,0,0,0.00%
234,Erik Karlsson,SJS,31,D,50,10,25,35,14,-14,23:28,19:08,2:50,1:29,10,0,0,2,1,15,10,0,2,1,25,10,0,4,2,28.6%,0.511,1.278,1.789,0.627,0.94,1.567,0,4.227,4.227,0.2,0.5,0.7,117,8.6%,18,45,0,0,0.00%
235,Darnell Nurse,EDM,26,D,71,9,26,35,54,18,25:02,21:08,1:09,2:45,7,0,2,0,0,19,6,1,8,3,26,6,3,8,3,17.1%,0.304,0.877,1.181,0.28,0.76,1.039,0,4.381,4.381,0.127,0.366,0.493,203,4.4%,196,132,0,0,0.00%
236,Mark Giordano,TOR,38,D,75,8,27,35,57,-9,20:52,16:49,2:27,1:35,6,0,2,1,1,15,12,0,4,0,21,12,2,5,1,34.3%,0.307,1.034,1.341,0.285,0.713,0.999,0,3.903,3.903,0.107,0.36,0.467,151,5.3%,75,139,0,0,0.00%
237,Kevin Shattenkirk,ANA,32,D,82,8,27,35,36,-9,21:25,17:13,1:58,2:12,7,1,0,1,0,14,13,0,2,0,21,14,0,3,0,40.0%,0.273,0.922,1.196,0.297,0.595,0.892,0.37,4.804,5.173,0.098,0.329,0.427,163,4.9%,73,135,0,1,0.00%
238,Vince Dunn,SEA,25,D,73,7,28,35,63,-21,20:40,18:15,2:12,0:12,5,2,0,0,0,19,9,0,2,0,24,11,0,2,0,31.4%,0.278,1.113,1.391,0.225,0.856,1.081,0.744,3.35,4.094,0.096,0.384,0.479,121,5.8%,76,82,0,0,0.00%
239,Colton Parayko,STL,28,D,80,6,29,35,18,16,23:33,21:17,0:16,1:59,6,0,0,2,0,28,1,0,7,2,34,1,0,9,2,2.9%,0.191,0.923,1.114,0.211,0.986,1.198,0,2.693,2.693,0.075,0.363,0.438,135,4.4%,72,169,0,0,0.00%
240,Lawson Crouse,ARI,24,F,65,20,14,34,52,-9,17:25,13:46,1:55,1:44,16,3,1,4,0,10,4,0,0,0,26,7,1,4,0,20.6%,1.059,0.741,1.801,1.072,0.67,1.742,1.443,1.924,3.366,0.308,0.215,0.523,131,15.3%,181,36,16,32,33.33%
241,Joel Farabee,PHI,21,F,63,17,17,34,50,-11,17:35,13:44,2:28,1:22,15,1,1,1,0,15,2,0,3,0,30,3,1,4,0,8.8%,0.921,0.921,1.841,1.04,1.04,2.079,0.385,0.769,1.154,0.27,0.27,0.54,119,14.3%,73,38,41,102,28.67%
242,Sonny Milano,ANA,25,F,66,14,20,34,10,-9,15:16,13:08,2:08,0:00,9,5,0,3,0,15,5,0,2,0,24,10,0,5,0,29.4%,0.833,1.19,2.023,0.623,1.038,1.661,2.125,2.125,4.25,0.212,0.303,0.515,94,14.9%,27,15,0,2,0.00%
243,Tanner Pearson,VAN,29,F,68,14,20,34,30,9,16:03,13:45,1:36,0:40,13,1,0,2,0,18,2,0,3,0,31,3,0,5,0,8.8%,0.769,1.099,1.869,0.833,1.154,1.987,0.547,1.094,1.641,0.206,0.294,0.5,159,8.8%,84,41,20,37,35.09%
244,Jesper Fast,CAR,30,F,82,14,20,34,4,24,14:48,12:56,0:16,1:35,13,1,0,1,0,18,1,1,2,0,31,2,1,3,0,5.9%,0.692,0.988,1.68,0.735,1.017,1.752,2.62,2.62,5.24,0.171,0.244,0.415,97,14.4%,109,36,12,17,41.38%
245,Anthony Beauvillier,NYI,24,F,75,12,22,34,12,-10,16:50,14:43,1:42,0:23,7,5,0,1,0,16,6,0,5,0,23,11,0,6,0,32.4%,0.57,1.046,1.616,0.38,0.869,1.25,2.33,2.796,5.127,0.16,0.293,0.453,154,7.8%,39,20,4,6,40.00%
246,Neal Pionk,WPG,26,D,77,3,31,34,46,5,21:08,17:54,2:10,1:02,2,1,0,1,0,20,11,0,5,0,22,12,0,6,0,35.3%,0.111,1.143,1.253,0.087,0.87,0.957,0.358,3.937,4.295,0.039,0.403,0.442,140,2.1%,185,91,0,0,0.00%
247,J.T. Compher,COL,26,F,70,18,15,33,25,6,16:19,12:51,1:47,1:40,13,4,1,0,0,13,2,0,1,0,26,6,1,1,0,18.2%,0.945,0.788,1.733,0.867,0.867,1.734,1.906,0.953,2.859,0.257,0.214,0.471,102,17.7%,31,55,338,319,51.45%
248,Danton Heinen,PIT,26,F,76,18,15,33,16,6,12:42,11:32,1:09,0:00,15,3,0,1,0,14,1,0,1,0,29,4,0,2,0,12.1%,1.118,0.931,2.049,1.026,0.958,1.984,2.034,0.678,2.712,0.237,0.197,0.434,138,13.0%,66,33,0,4,0.00%
249,Blake Coleman,CGY,30,F,81,16,17,33,60,16,14:49,13:01,0:18,1:29,15,0,1,2,0,16,0,1,4,0,31,0,2,6,0,0.0%,0.8,0.85,1.649,0.853,0.91,1.764,0,0,0,0.198,0.21,0.407,212,7.6%,163,44,2,17,10.53%
250,Kyle Palmieri,NYI,30,F,69,15,18,33,57,0,15:37,13:46,1:37,0:13,13,2,0,6,0,14,4,0,1,0,27,6,0,7,0,18.2%,0.835,1.002,1.837,0.82,0.884,1.704,1.075,2.15,3.224,0.217,0.261,0.478,156,9.6%,77,18,15,36,29.41%
251,Alex Newhook,COL,20,F,71,13,20,33,12,11,13:33,12:06,1:22,0:05,10,3,0,5,0,17,3,0,2,0,27,6,0,7,0,18.2%,0.81,1.246,2.056,0.698,1.187,1.886,1.843,1.843,3.685,0.183,0.282,0.465,113,11.5%,40,36,136,256,34.69%
252,Barclay Goodrow,NYR,28,F,79,13,20,33,69,13,16:42,13:47,0:35,2:19,12,0,1,2,0,17,0,3,3,0,29,0,4,5,0,0.0%,0.591,0.909,1.5,0.661,0.936,1.596,0,0,0,0.165,0.253,0.418,116,11.2%,130,54,365,376,49.26%
253,Christian Dvorak,MTL,25,F,56,11,22,33,24,-19,17:22,13:15,2:27,1:38,10,1,0,1,0,18,4,0,4,0,28,5,0,5,0,15.2%,0.678,1.357,2.035,0.808,1.454,2.262,0.435,1.739,2.173,0.196,0.393,0.589,87,12.6%,32,52,548,419,56.67%
254,Vladislav Gavrikov,CBJ,26,D,80,5,28,33,68,-3,22:17,19:06,0:05,3:05,5,0,0,1,0,27,0,1,2,0,32,0,1,3,0,0.0%,0.168,0.942,1.11,0.196,1.06,1.256,0,0,0,0.063,0.35,0.413,108,4.6%,124,138,0,0,0.00%
255,Ilya Mikheyev,TOR,27,F,53,21,11,32,26,16,15:15,12:46,1:05,1:23,13,4,4,4,0,10,1,0,1,0,23,5,4,5,0,15.6%,1.558,0.816,2.374,1.153,0.887,2.039,4.143,1.036,5.178,0.396,0.208,0.604,147,14.3%,52,18,0,2,0.00%
256,Josh Anderson,MTL,27,F,69,19,13,32,65,-25,17:13,15:03,2:07,0:02,17,2,0,1,0,12,1,0,0,0,29,3,0,1,0,9.4%,0.959,0.656,1.615,0.981,0.693,1.674,0.82,0.41,1.23,0.275,0.188,0.464,151,12.6%,153,35,20,22,47.62%
257,Frank Vatrano,NYR,27,F,71,18,14,32,22,4,13:09,12:18,0:48,0:01,17,1,0,3,1,13,1,0,0,0,30,2,0,3,1,6.3%,1.156,0.899,2.055,1.167,0.892,2.059,1.04,1.04,2.08,0.254,0.197,0.451,161,11.2%,68,26,12,13,48.00%
258,Dillon Dube,CGY,23,F,79,18,14,32,20,1,12:50,11:10,0:50,0:48,15,2,1,1,0,11,1,2,3,0,26,3,3,4,0,9.4%,1.065,0.828,1.893,1.019,0.747,1.766,1.796,0.898,2.694,0.228,0.177,0.405,143,12.6%,87,15,92,102,47.42%
259,Alex Formenton,OTT,22,F,79,18,14,32,59,-13,15:27,12:42,0:50,1:54,13,0,5,1,0,13,0,1,2,0,26,0,6,3,0,0.0%,0.885,0.688,1.573,0.777,0.777,1.553,0,0,0,0.228,0.177,0.405,162,11.1%,101,24,8,12,40.00%
260,Nick Paul,TBL,26,F,80,16,16,32,39,-14,16:30,13:55,0:27,2:07,13,2,1,2,0,15,0,1,2,0,28,2,2,4,0,6.3%,0.727,0.727,1.453,0.7,0.808,1.508,3.258,0,3.258,0.2,0.2,0.4,166,9.6%,106,56,426,419,50.41%
261,Dominik Kubalik,CHI,26,F,78,15,17,32,16,-16,14:31,12:51,1:38,0:00,12,3,0,0,0,11,6,0,0,0,23,9,0,0,0,28.1%,0.795,0.901,1.695,0.717,0.658,1.375,1.399,2.798,4.196,0.192,0.218,0.41,161,9.3%,93,28,8,12,40.00%
262,Philip Tomasino,NSH,20,F,76,11,21,32,10,2,11:32,10:11,1:20,0:00,8,3,0,3,0,15,6,0,1,0,23,9,0,4,0,28.1%,0.753,1.437,2.19,0.62,1.162,1.781,1.764,3.529,5.293,0.145,0.276,0.421,111,9.9%,49,28,21,33,38.89%
263,Kasperi Kapanen,PIT,25,F,79,11,21,32,16,2,14:31,12:55,1:36,0:00,11,0,0,2,0,16,5,0,1,0,27,5,0,3,0,15.6%,0.575,1.098,1.672,0.647,0.941,1.587,0,2.358,2.358,0.139,0.266,0.405,129,8.5%,110,19,5,7,41.67%
264,Ryan Suter,DAL,36,D,82,7,25,32,40,1,23:39,19:57,2:06,1:34,3,4,0,0,0,16,9,0,4,0,19,13,0,4,0,40.6%,0.217,0.773,0.99,0.11,0.586,0.696,1.39,3.127,4.517,0.085,0.305,0.39,118,5.9%,46,88,0,0,0.00%
265,Nate Schmidt,WPG,30,D,77,4,28,32,10,-4,20:12,17:53,1:40,0:39,3,1,0,1,0,17,10,1,3,0,20,11,1,4,0,34.4%,0.154,1.08,1.234,0.131,0.741,0.871,0.467,4.673,5.14,0.052,0.364,0.416,117,3.4%,37,104,0,0,0.00%
266,Jamie Drysdale,ANA,19,D,81,4,28,32,16,-26,19:53,17:47,2:03,0:01,4,0,0,1,1,16,12,0,4,1,20,12,0,5,2,37.5%,0.149,1.043,1.192,0.167,0.666,0.833,0,4.307,4.307,0.049,0.346,0.395,137,2.9%,40,72,0,0,0.00%
267,Alexis Lafrenière,NYR,20,F,79,19,12,31,37,2,13:59,12:46,1:10,0:02,19,0,0,4,0,10,2,0,3,1,29,2,0,7,1,6.5%,1.031,0.651,1.682,1.13,0.595,1.725,0,1.284,1.284,0.241,0.152,0.392,110,17.3%,108,26,14,34,29.17%
268,Ryan Donato,SEA,25,F,74,16,15,31,40,-13,13:47,11:59,1:48,0:00,15,1,0,2,0,15,0,0,3,0,30,1,0,5,0,3.2%,0.94,0.882,1.822,1.015,1.015,2.029,0.45,0,0.45,0.216,0.203,0.419,159,10.1%,70,17,15,23,39.47%
269,Cole Sillinger,CBJ,18,F,79,16,15,31,37,-22,13:41,12:24,0:51,0:25,16,0,0,3,0,13,2,0,1,1,29,2,0,4,1,6.5%,0.887,0.832,1.719,0.979,0.795,1.774,0,1.782,1.782,0.203,0.19,0.392,148,10.8%,98,43,362,417,46.47%
270,Lars Eller,WSH,32,F,72,13,18,31,40,-4,16:07,13:19,1:08,1:38,13,0,0,2,1,16,2,0,0,0,29,2,0,2,1,6.5%,0.672,0.931,1.603,0.813,1,1.813,0,1.454,1.454,0.181,0.25,0.431,116,11.2%,95,36,510,521,49.47%
